"","icpsr","name","party_code","chamber","state_abbrev","dim1","dim2","coord1D","correctYea","wrongYea","correctNay","wrongNay"
"90","10605","MATSUNAGA, Spark Masayuki","100","House","HI","-0.379","-0.032",0.00149696052540094,54,10,20,6
"91","10637","WHITE, Compton Ignatius, Jr.","100","House","ID","-0.324","0.479",NA,NA,NA,NA,NA
"92","10524","HARDING, Ralph R.","100","House","ID","-0.337","0.144",NA,NA,NA,NA,NA
"93","2433","DAWSON, William Levi","100","House","IL","-0.527","0.101",NA,NA,NA,NA,NA
"94","7041","O'HARA, Barratt","100","House","IL","-0.511","-0.142",NA,NA,NA,NA,NA
"95","6816","MURPHY, William Thomas","100","House","IL","-0.42","0.182",NA,NA,NA,NA,NA
"96","2525","DERWINSKI, Edward Joseph","200","House","IL","0.342","-0.361",0.24706457555294,103,21,36,14
"97","5326","KLUCZYNSKI, John Carl","100","House","IL","-0.382","0.237",0.0398491285741329,31,4,15,1
"98","7004","O'BRIEN, Thomas Joseph","100","House","IL","-0.365","-0.223",NA,NA,NA,NA,NA
"99","5654","LIBONATI, Roland Victor","100","House","IL","-0.415","0.11",NA,NA,NA,NA,NA
"100","8080","ROSTENKOWSKI, Daniel David","100","House","IL","-0.39","0.246",0.0114619145169854,158,17,73,15
"101","10518","FINNEGAN, Edward Rowan","100","House","IL","-0.459","-0.004",NA,NA,NA,NA,NA
"102","1941","COLLIER, Harold Reginald","200","House","IL","0.378","-0.213",0.292019665241241,29,9,7,8
"103","7642","PUCINSKI, Roman Conrad","100","House","IL","-0.281","0.083",-0.173291891813278,26,3,7,1
"104","10606","McCLORY, Robert","200","House","IL","0.256","-0.426",0.184855207800865,106,25,35,17
"105","10622","RUMSFELD, Donald Henry","200","House","IL","0.369","-0.779",NA,NA,NA,NA,NA
"106","4488","HOFFMAN, Elmer Joseph","200","House","IL","0.558","0.043",NA,NA,NA,NA,NA
"107","10617","REID, Charlotte Thompson","200","House","IL","0.361","-0.11",0.38693180680275,15,0,7,1
"108","10501","ANDERSON, John Bayard","200","House","IL","0.183","-0.554",0.11305370926857,70,10,27,10
"109","226","ARENDS, Leslie Cornelius","200","House","IL","0.301","-0.187",0.309877961874008,35,4,14,2
"110","6455","MICHEL, Robert Henry","200","House","IL","0.372","-0.157",0.402956753969193,150,28,89,19
"111","10608","McLOSKEY, Robert Thaddeus","200","House","IL","0.362","-0.206",NA,NA,NA,NA,NA
"112","10517","FINDLEY, Paul","200","House","IL","0.246","-0.525",0.229487195611,92,30,38,15
"113","3769","GRAY, Kenneth James","100","House","IL","-0.364","0.45",0.155298322439194,28,2,12,4
"114","8814","SPRINGER, William Lee","200","House","IL","0.185","-0.186",0.244610786437988,22,3,8,2
"115","8474","SHIPLEY, George Edward","100","House","IL","-0.284","0.515",0.190194293856621,77,10,27,13
"116","7610","PRICE, Charles Melvin","100","House","IL","-0.429","0.346",-0.0136897414922714,142,16,64,10
"117","5900","MADDEN, Ray John","100","House","IN","-0.422","0.03",-0.0805976912379265,67,4,23,3
"118","3963","HALLECK, Charles Abraham","200","House","IN","0.272","-0.288",NA,NA,NA,NA,NA
"119","948","BRADEMAS, John","100","House","IN","-0.462","-0.061",-0.166204586625099,117,4,40,6
"120","18","ADAIR, Edwin Ross","200","House","IN","0.267","-0.002",NA,NA,NA,NA,NA
"121","8084","ROUSH, John Edward","100","House","IN","-0.233","0.158",-0.0566410832107067,71,9,25,5
"122","10552","ROUDEBUSH, Richard Lowell","200","House","IN","0.315","0.114",NA,NA,NA,NA,NA
"123","986","BRAY, William Gilmer","200","House","IN","0.235","0.109",0.360472112894058,36,0,19,5
"124","2517","DENTON, Winfield Kirkpatrick","100","House","IN","-0.378","0.202",NA,NA,NA,NA,NA
"125","10212","WILSON, Earl","200","House","IN","0.358","-0.083",NA,NA,NA,NA,NA
"126","4165","HARVEY, Ralph","200","House","IN","0.305","-0.011",NA,NA,NA,NA,NA
"127","10507","BRUCE, Donald Cogley","200","House","IN","0.491","0.095",NA,NA,NA,NA,NA
"128","8288","SCHWENGEL, Frederick Delbert","200","House","IA","0.173","-0.533",0.234574645757675,18,7,7,4
"129","10506","BROMWELL, James Edward","200","House","IA","0.283","-0.161",NA,NA,NA,NA,NA
"130","3853","GROSS, Harold Royce","200","House","IA","0.955","0.298",0.815330743789673,20,3,34,3
"131","5385","KYL, John Henry","200","House","IA","0.316","-0.022",0.317696541547775,16,3,14,2
"132","8672","SMITH, Neal Edward","100","House","IA","-0.313","0.174",0.0496766082942486,175,27,79,14
"133","4482","HOEVEN, Charles Bernard","200","House","IA","0.317","0.009",NA,NA,NA,NA,NA
"134","4928","JENSEN, Benton Franklin","200","House","IA","0.386","0.238",NA,NA,NA,NA,NA
"135","10513","DOLE, Robert Joseph","200","House","KS","0.322","-0.279",NA,NA,NA,NA,NA
"136","301","AVERY, William Henry","200","House","KS","0.169","-0.047",NA,NA,NA,NA,NA
"137","10516","ELLSWORTH, Robert Fred","200","House","KS","0.148","-0.367",NA,NA,NA,NA,NA
"138","10559","SHRIVER, Garner E.","200","House","KS","0.175","-0.06",0.234653577208519,59,14,28,6
"139","10625","SKUBITZ, Joe","200","House","KS","0.189","0.08",0.272915065288544,67,23,25,9
"140","9056","STUBBLEFIELD, Frank Albert","100","House","KY","-0.247","0.779",0.243317067623138,34,6,17,0
"141","6845","NATCHER, William Huston","100","House","KY","-0.288","0.575",0.0965317711234093,178,29,79,24
"142","10626","SNYDER, Marion Gene","200","House","KY","0.26","0.298",0.298266559839249,131,30,61,12
"143","1682","CHELF, Frank Leslie","100","House","KY","-0.215","0.634",NA,NA,NA,NA,NA
"144","8508","SILER, Eugene","200","House","KY","0.25","0.203",NA,NA,NA,NA,NA
"145","9882","WATTS, John Clarence","100","House","KY","-0.206","0.648",0.0850260257720947,13,1,6,1
"146","7343","PERKINS, Carl Dewey","100","House","KY","-0.343","0.332",0.0430437065660954,124,21,58,8
"147","4275","HÉBERT, Felix Edward","100","House","LA","-0.079","0.834",0.3104188144207,29,5,19,0
"148","824","BOGGS, Thomas Hale, Sr.","100","House","LA","-0.348","0.589",0.178328156471252,22,4,12,1
"149","10201","WILLIS, Edwin Edward","100","House","LA","-0.2","0.98",NA,NA,NA,NA,NA
"150","10567","WAGGONNER, Joseph David, Jr.","100","House","LA","0.015","1",0.407796204090118,68,16,45,10
"151","7228","PASSMAN, Otto Ernest","100","House","LA","-0.056","0.952",0.297843486070633,50,15,29,2
"152","6721","MORRISON, James Hobson","100","House","LA","-0.28","0.722",NA,NA,NA,NA,NA
"153","9339","THOMPSON, Theo Ashton","100","House","LA","-0.222","0.975",NA,NA,NA,NA,NA
"154","10602","LONG, Gillis William","100","House","LA","-0.368","0.604",0.0972589775919914,100,14,45,13
"155","10565","TUPPER, Stanley Roger","200","House","ME","-0.04","-0.441",NA,NA,NA,NA,NA
"156","6276","McINTIRE, Clifford Guy","200","House","ME","0.228","-0.059",NA,NA,NA,NA,NA
"157","10610","MORTON, Rogers Clark Ballard","200","House","MD","0.213","-0.315",NA,NA,NA,NA,NA
"158","10601","LONG, Clarence Dickinson","100","House","MD","-0.274","0.098",-0.0294114481657743,134,15,50,13
"159","3480","GARMATZ, Edward Alexander","100","House","MD","-0.307","0.222",0.143608421087265,25,1,11,0
"160","3054","FALLON, George Hyde","100","House","MD","-0.171","0.063",NA,NA,NA,NA,NA
"161","5463","LANKFORD, Richard Estep","100","House","MD","-0.281","0.221",NA,NA,NA,NA,NA
"162","10535","MATHIAS, Charles McCurdy, Jr.","200","House","MD","-0.033","-0.999",NA,NA,NA,NA,NA
"163","3374","FRIEDEL, Samuel Nathaniel","100","House","MD","-0.368","0.041",NA,NA,NA,NA,NA
"164","10624","SICKLES, Carlton Ralph","100","House","MD","-0.487","-0.211",NA,NA,NA,NA,NA
"165","2009","CONTE, Silvio Ottavio","200","House","MA","-0.023","-0.683",-0.0670591071248055,170,23,76,8
"166","830","BOLAND, Edward Patrick","100","House","MA","-0.306","-0.104",-0.0590494126081467,149,24,68,3
"167","7408","PHILBIN, Philip Joseph","100","House","MA","-0.238","-0.079",NA,NA,NA,NA,NA
"168","2660","DONOHUE, Harold Daniel","100","House","MA","-0.296","-0.098",0.0453626736998558,33,5,11,3
"169","10538","MORSE, Frank Bradford","200","House","MA","0.043","-0.999",-0.0768591314554214,23,1,3,2
"170","518","BATES, William Henry","200","House","MA","0.196","-0.478",NA,NA,NA,NA,NA
"171","5873","MACDONALD, Torbert Hart","100","House","MA","-0.308","-0.091",0.0820470377802849,39,6,10,11
"172","7081","O'NEILL, Thomas Philip, Jr. (Tip)","100","House","MA","-0.402","0.058",-0.0135590918362141,66,11,25,1
"173","6033","MARTIN, Joseph William, Jr.","200","House","MA","0.203","-0.56",NA,NA,NA,NA,NA
"174","1265","BURKE, James Anthony","100","House","MA","-0.4","0.152",0.00426647579297423,97,12,32,8
"175","5131","KEITH, Hastings","200","House","MA","0.148","-0.41",0.243024781346321,26,1,10,3
"176","10540","NEDZI, Lucien Norbert","100","House","MI","-0.427","0.002",-0.0619647353887558,106,16,35,6
"177","6399","MEADER, George","200","House","MI","0.221","-0.161",NA,NA,NA,NA,NA
"178","4935","JOHANSEN, August Edgar","200","House","MI","0.627","0.355",NA,NA,NA,NA,NA
"179","10597","HUTCHINSON, J. Edward","200","House","MI","0.444","-0.036",0.388327479362488,58,6,40,8
"180","3268","FORD, Gerald Rudolph, Jr.","200","House","MI","0.281","-0.433",0.204575538635254,28,5,12,5
"181","1620","CHAMBERLAIN, Charles Ernest","200","House","MI","0.247","-0.191",0.288666814565659,39,7,15,4
"182","7043","O'HARA, James Grant","100","House","MI","-0.45","0.127",-0.0271030105650425,63,9,19,6
"183","10526","HARVEY, James","200","House","MI","0.2","-0.414",0.271401792764664,31,4,12,5
"184","3824","GRIFFIN, Robert Paul","200","House","MI","0.327","-0.68",NA,NA,NA,NA,NA
"185","1610","CEDERBERG, Elford Albin","200","House","MI","0.27","-0.144",0.28642863035202,90,14,31,9
"186","5349","KNOX, Victor Alfred","200","House","MI","0.257","0.016",NA,NA,NA,NA,NA
"187","639","BENNETT, John Bonifas","200","House","MI","0.121","0.021",NA,NA,NA,NA,NA
"188","2594","DIGGS, Charles Coles, Jr.","100","House","MI","-0.539","-0.088",-0.0450494885444641,56,6,23,5
"189","10554","RYAN, Harold Martin","100","House","MI","-0.364","0.111",NA,NA,NA,NA,NA
"190","2605","DINGELL, John David, Jr.","100","House","MI","-0.448","0.313",-0.192289710044861,429,61,217,37
"191","5617","LESINSKI, John, Jr.","100","House","MI","-0.406","0.217",NA,NA,NA,NA,NA
"192","3830","GRIFFITHS, Martha Wright","100","House","MI","-0.344","0.138",0.0242522750049829,34,4,14,3
"193","1087","BROOMFIELD, William S.","200","House","MI","0.227","-0.309",0.242538765072823,156,21,56,25
"194","10628","STAEBLER, Neil Oliver","100","House","MI","-0.701","0.258",NA,NA,NA,NA,NA
"195","7671","QUIE, Albert Harold","200","House","MN","0.189","-0.386",0.130866348743439,83,11,26,12
"196","6860","NELSEN, Ancher","200","House","MN","0.268","-0.234",0.179204896092415,30,7,14,5
"197","10533","MacGREGOR, Clark","200","House","MN","0.272","-0.639",NA,NA,NA,NA,NA
"198","5098","KARTH, Joseph Edward","100","House","MN","-0.386","-0.025",-0.118859454989433,62,4,19,2
"199","10585","FRASER, Donald MacKay","100","House","MN","-0.469","-0.466",-0.241218045353889,88,4,32,1
"200","10612","OLSON, Alec Gehard","100","House","MN","-0.368","0.322",NA,NA,NA,NA,NA
"201","5451","LANGEN, Odin Elsford Stanley","200","House","MN","0.298","-0.003",NA,NA,NA,NA,NA
"202","789","BLATNIK, John Anton","100","House","MN","-0.48","0.127",0.0614636838436127,27,3,15,3
"203","13","ABERNETHY, Thomas Gerstle","100","House","MS","0.052","0.999",0.468115150928497,15,4,9,2
"204","10075","WHITTEN, Jamie Lloyd","100","House","MS","-0.161","0.987",0.233819246292114,155,45,64,18
"205","10162","WILLIAMS, John Bell","100","House","MS","0.127","0.992",NA,NA,NA,NA,NA
"206","10279","WINSTEAD, William Arthur","100","House","MS","0.049","0.999",NA,NA,NA,NA,NA
"207","1952","COLMER, William Meyers","100","House","MS","0.052","0.999",0.413520008325577,13,6,12,3
"208","5097","KARSTEN, Frank Melvin","100","House","MO","-0.489","0.018",NA,NA,NA,NA,NA
"209","2275","CURTIS, Thomas Bradford","200","House","MO","0.515","-0.69",NA,NA,NA,NA,NA
"210","9072","SULLIVAN, Leonor Kretzer","100","House","MO","-0.386","0.299",0.067164696753025,56,8,20,9
"211","7717","RANDALL, William Joseph","100","House","MO","-0.184","0.568",0.208792194724083,60,9,25,10
"212","835","BOLLING, Richard Walker","100","House","MO","-0.504","0.171",-0.0359646044671535,87,15,31,4
"213","4724","HULL, William Raleigh, Jr.","100","House","MO","-0.112","0.766",0.232632100582123,19,5,10,0
"214","10523","HALL, Durward Gorham","200","House","MO","0.796","0.317",0.677802562713623,12,5,25,2
"215","10528","ICHORD, Richard Howard, II","100","House","MO","0.001","0.707",0.354396998882294,72,23,46,11
"216","1479","CANNON, Clarence Andrew","100","House","MO","-0.175","0.503",NA,NA,NA,NA,NA
"217","5056","JONES, Paul Caruthers","100","House","MO","-0.128","0.861",NA,NA,NA,NA,NA
"218","10543","OLSEN, Arnold","100","House","MT","-0.497","0.432",NA,NA,NA,NA,NA
"219","10503","BATTIN, James Franklin","200","House","MT","0.235","0.138",NA,NA,NA,NA,NA
"220","10504","BEERMANN, Ralph Frederick","200","House","NE","0.592","0.285",NA,NA,NA,NA,NA
"221","2255","CUNNINGHAM, Glenn Clarence","200","House","NE","0.215","-0.07",NA,NA,NA,NA,NA
"222","10534","MARTIN, David Thomas","200","House","NE","0.33","0.245",0.461400270462036,32,6,21,3
"223","433","BARING, Walter Stephan, Jr.","100","House","NV","-0.056","0.534",0.289691716432571,13,4,7,0
"224","10639","WYMAN, Louis Crosby","200","House","NH","0.236","-0.058",0.2324578166008,34,6,12,5
"225","10581","CLEVELAND, James Colgate","200","House","NH","0.218","-0.343",0.203845366835594,100,16,36,12
"226","1393","CAHILL, William Thomas","200","House","NJ","0.09","-0.727",NA,NA,NA,NA,NA
"227","3629","GLENN, Milton Willits","200","House","NJ","0.137","-0.43",NA,NA,NA,NA,NA
"228","291","AUCHINCLOSS, James Coats","200","House","NJ","0.195","-0.475",NA,NA,NA,NA,NA
"229","9322","THOMPSON, Frank, Jr.","100","House","NJ","-0.511","-0.165",-0.113115295767784,88,11,33,7
"230","3364","FRELINGHUYSEN, Peter Hood Ballantine, Jr.","200","House","NJ","0.172","-0.506",0.131832867860794,32,4,16,5
"231","2804","DWYER, Florence Price","200","House","NJ","0.071","-0.657",0.0742416977882385,18,2,5,3
"232","10091","WIDNALL, William Beck","200","House","NJ","0.125","-0.45",0.238743275403976,34,5,14,3
"233","10529","JOELSON, Charles Samuel","100","House","NJ","-0.298","-0.267",NA,NA,NA,NA,NA
"234","7101","OSMERS, Frank Charles, Jr.","200","House","NJ","0.156","-0.693",NA,NA,NA,NA,NA
"235","8010","RODINO, Peter Wallace, Jr.","100","House","NJ","-0.435","-0.224",-0.20241567492485,158,7,64,3
"236","10609","MINISH, Joseph George","100","House","NJ","-0.299","-0.098",-0.157981365919113,139,11,61,3
"237","9775","WALLHAUSER, George Marvin","200","House","NJ","0.079","-0.588",NA,NA,NA,NA,NA
"238","3433","GALLAGHER, Cornelius Edward","100","House","NJ","-0.44","-0.095",-0.0555536262691021,28,2,5,0
"239","2329","DANIELS, Dominick Vincent","100","House","NJ","-0.386","0.1",-0.0457342267036438,75,5,23,6
"240","10613","PATTEN, Edward James","100","House","NJ","-0.424","0.243",-0.00648604659363627,108,12,44,6
"241","6611","MONTOYA, Joseph Manuel","100","House","NM","-0.269","0.288",NA,NA,NA,NA,NA
"242","6717","MORRIS, Thomas Gayle","100","House","NM","-0.227","0.614",NA,NA,NA,NA,NA
"243","10545","PIKE, Otis Grey","100","House","NY","-0.162","-0.125",-0.0874062329530716,92,16,31,5
"244","10592","GROVER, James Russell, Jr.","200","House","NY","0.25","-0.276",0.238547846674919,32,10,13,4
"245","2523","DEROUNIAN, Steven Boghos","200","House","NY","0.358","-0.569",NA,NA,NA,NA,NA
"246","10638","WYDLER, John Waldemar","200","House","NY","0.277","-0.592",0.0888988599181175,74,26,30,17
"247","563","BECKER, Frank John","200","House","NY","0.364","-0.428",NA,NA,NA,NA,NA
"248","3967","HALPERN, Seymour","200","House","NY","-0.094","-0.755",-0.153954416513443,24,1,6,1
"249","10500","ADDABBO, Joseph Patrick","100","House","NY","-0.402","-0.084",-0.147722408175468,141,9,51,10
"250","10551","ROSENTHAL, Benjamin Stanley","100","House","NY","-0.562","-0.491",-0.355164885520935,117,6,46,2
"251","2476","DELANEY, James Joseph","100","House","NY","-0.303","0.199",0.028746735304594,79,11,25,14
"252","1611","CELLER, Emanuel","100","House","NY","-0.457","-0.237",-0.014107933267951,21,4,5,0
"253","5199","KEOGH, Eugene James","100","House","NY","-0.437","0.027",NA,NA,NA,NA,NA
"254","5148","KELLY, Edna Flannery","100","House","NY","-0.357","-0.022",NA,NA,NA,NA,NA
"255","6792","MULTER, Abraham Jacob","100","House","NY","-0.558","-0.021",NA,NA,NA,NA,NA
"256","8049","ROONEY, John James","100","House","NY","-0.384","0.161",0.123855374753475,19,8,12,3
"257","10508","CAREY, Hugh Leo","100","House","NY","-0.351","-0.271",0.0187833141535521,24,9,13,2
"258","10611","MURPHY, John Michael","100","House","NY","-0.406","0.386",0.0129887675866485,90,12,31,10
"259","5678","LINDSAY, John Vliet","200","House","NY","-0.017","-1",NA,NA,NA,NA,NA
"260","7568","POWELL, Adam Clayton, Jr.","100","House","NY","-0.833","-0.544",NA,NA,NA,NA,NA
"261","3056","FARBSTEIN, Leonard","100","House","NY","-0.559","-0.446",NA,NA,NA,NA,NA
"262","10555","RYAN, William Fitts","100","House","NY","-0.619","-0.785",-0.480769842863083,29,0,10,0
"263","4262","HEALEY, James Christopher","100","House","NY","-0.463","0.051",NA,NA,NA,NA,NA
"264","3575","GILBERT, Jacob H.","100","House","NY","-0.486","-0.4",NA,NA,NA,NA,NA
"265","1205","BUCKLEY, Charles Anthony","100","House","NY","-0.492","-0.017",NA,NA,NA,NA,NA
"266","3158","FINO, Paul Albert","200","House","NY","0.048","-0.363",NA,NA,NA,NA,NA
