congress,chamber,icpsr,district_code,state_abbrev,party_code,bioname,d1
91,House,11059,8,IN,R,"ZION, Roger Herschel",-0.195
91,House,12012,10,IN,R,"DENNIS, David Worth",-0.241
91,House,12020,2,IN,R,"LANDGREBE, Earl Fredrick",3.741
91,House,3853,3,IA,R,"GROSS, Harold Royce",4.124
91,House,5385,4,IA,R,"KYL, John Henry",-0.189
91,House,8288,1,IA,R,"SCHWENGEL, Frederick Delbert",1.447
91,House,8672,5,IA,D,"SMITH, Neal Edward",-0.167
91,House,10715,2,IA,D,"CULVER, John Chester",0.132
91,House,11032,6,IA,R,"MAYNE, Wiley",-0.452
91,House,11047,7,IA,R,"SCHERLE, William Joseph",3.185
91,House,10559,4,KS,R,"SHRIVER, Garner E.",-0.218
91,House,10625,5,KS,R,"SKUBITZ, Joe",-0.021
91,House,10758,2,KS,R,"MIZE, Chester Louis",-0.115
91,House,11057,3,KS,R,"WINN, Edward Lawrence, Jr. (Larry)",1.398
91,House,12029,1,KS,R,"SEBELIUS, Keith George",-0.102
91,House,6845,2,KY,D,"NATCHER, William Huston",-0.206
91,House,7343,7,KY,D,"PERKINS, Carl Dewey",-0.131
91,House,9056,1,KY,D,"STUBBLEFIELD, Frank Albert",0.076
91,House,9882,6,KY,D,"WATTS, John Clarence",-0.205
91,House,10626,4,KY,R,"SNYDER, Marion Gene",1.528
91,House,10710,5,KY,R,"CARTER, Tim Lee",-0.192
91,House,11010,3,KY,R,"COWGER, William Owen",-0.408
91,House,824,2,LA,D,"BOGGS, Thomas Hale, Sr.",0.068
91,House,4275,1,LA,D,"HÉBERT, Felix Edward",0.105
91,House,7228,5,LA,D,"PASSMAN, Otto Ernest",-0.346
91,House,10567,4,LA,D,"WAGGONNER, Joseph David, Jr.",0.104
91,House,10746,8,LA,D,"LONG, Speedy Oteria",0.059
91,House,10787,7,LA,D,"EDWARDS, Edwin Washington",-0.167
91,House,11042,6,LA,D,"RARICK, John Richard",4.05
91,House,12005,3,LA,D,"CAFFERY, Patrick Thomson",-0.254
91,House,10736,2,ME,D,"HATHAWAY, William Dodd",-0.264
91,House,11027,1,ME,D,"KYROS, Peter Nicholas",-0.1
91,House,3054,4,MD,D,"FALLON, George Hyde",-0.485
91,House,3374,7,MD,D,"FRIEDEL, Samuel Nathaniel",-0.351
91,House,3480,3,MD,D,"GARMATZ, Edward Alexander",-0.287
91,House,10601,2,MD,D,"LONG, Clarence Dickinson",-0.076
91,House,10610,1,MD,R,"MORTON, Rogers Clark Ballard",0.119
91,House,11019,8,MD,R,"GUDE, Gilbert",-0.125
91,House,12002,6,MD,R,"BEALL, John Glenn, Jr.",-0.205
91,House,12018,5,MD,R,"HOGAN, Lawrence Joseph",-0.149
91,House,518,6,MA,R,"BATES, William Henry",0.019
91,House,830,2,MA,D,"BOLAND, Edward Patrick",-0.186
91,House,1265,11,MA,D,"BURKE, James Anthony",-0.223
91,House,2009,1,MA,R,"CONTE, Silvio Ottavio",-0.19
91,House,2660,4,MA,D,"DONOHUE, Harold Daniel",-0.13
91,House,5131,12,MA,R,"KEITH, Hastings",-0.071
91,House,5873,7,MA,D,"MACDONALD, Torbert Hart",0.131
91,House,7081,8,MA,D,"O'NEILL, Thomas Philip, Jr. (Tip)",-0.132
91,House,7408,3,MA,D,"PHILBIN, Philip Joseph",-0.153
91,House,10538,5,MA,R,"MORSE, Frank Bradford",0.127
91,House,11021,10,MA,R,"HECKLER, Margaret M.",-0.246
91,House,12040,6,MA,D,"HARRINGTON, Michael Joseph",-1.922
91,House,1087,18,MI,R,"BROOMFIELD, William S.",1.536
91,House,1610,10,MI,R,"CEDERBERG, Elford Albin",-0.227
91,House,1620,6,MI,R,"CHAMBERLAIN, Charles Ernest",-0.202
91,House,2594,13,MI,D,"DIGGS, Charles Coles, Jr.",0.064
91,House,2605,16,MI,D,"DINGELL, John David, Jr.",0.002
91,House,3268,5,MI,R,"FORD, Gerald Rudolph, Jr.",-0.169
91,House,3830,17,MI,D,"GRIFFITHS, Martha Wright",-0.182
91,House,7043,12,MI,D,"O'HARA, James Grant",-0.117
91,House,10526,8,MI,R,"HARVEY, James",-0.133
91,House,10540,14,MI,D,"NEDZI, Lucien Norbert",-1.912
91,House,10597,4,MI,R,"HUTCHINSON, J. Edward",1.394
91,House,10713,1,MI,D,"CONYERS, John, Jr.",-1.974
91,House,10727,15,MI,D,"FORD, William David",-0.144
91,House,10794,9,MI,R,"VANDER JAGT, Guy Adrian",-0.405
91,House,11006,3,MI,R,"BROWN, Garry Eldridge",1.36
91,House,11015,2,MI,R,"ESCH, Marvin Leonel",-0.577
91,House,11030,19,MI,R,"McDONALD, Jack H.",-0.204
91,House,11045,11,MI,R,"RUPPE, Philip Edward",0.078
