congress,party_code,chamber,type,median
99,100,House,median_coord1D,-0.07262048125267029
99,100,House,median_dim1,-0.3185
99,200,House,median_coord1D,0.36877724528312683
99,200,House,median_dim1,0.344
99,328,House,median_coord1D,-0.40177884697914124
99,328,House,median_dim1,-0.506
99,329,House,median_coord1D,-0.27013614773750305
99,329,House,median_dim1,-0.418
100,100,House,median_coord1D,-0.0742587149143219
100,100,House,median_dim1,-0.32
100,200,House,median_coord1D,0.3779045194387436
100,200,House,median_dim1,0.346
100,328,House,median_coord1D,-0.40177884697914124
100,328,House,median_dim1,-0.506
100,329,House,median_coord1D,-0.27013614773750305
100,329,House,median_dim1,-0.418
101,100,House,median_coord1D,-0.08640821278095245
101,100,House,median_dim1,-0.32
101,200,House,median_coord1D,0.36877724528312683
101,200,House,median_dim1,0.3395
101,328,House,median_coord1D,-0.40177884697914124
101,328,House,median_dim1,-0.506
101,329,House,median_coord1D,-0.27013614773750305
101,329,House,median_dim1,-0.418
102,100,House,median_coord1D,-0.09852916747331619
102,100,House,median_dim1,-0.32
102,200,House,median_coord1D,0.38724711537361145
102,200,House,median_dim1,0.3475
102,328,House,median_coord1D,-0.4593604952096939
102,328,House,median_dim1,-0.524
102,329,House,median_coord1D,-0.27013614773750305
102,329,House,median_dim1,-0.418
103,100,House,median_coord1D,-0.1854756623506546
103,100,House,median_dim1,NA
103,200,House,median_coord1D,0.4767735004425049
103,200,House,median_dim1,0.377
103,328,House,median_coord1D,-0.4593604952096939
103,328,House,median_dim1,-0.524
103,329,House,median_coord1D,-0.27013614773750305
103,329,House,median_dim1,-0.418
104,100,House,median_coord1D,-0.23585078865289688
104,100,House,median_dim1,-0.38
104,200,House,median_coord1D,0.49732711911201477
104,200,House,median_dim1,0.385
104,328,House,median_coord1D,-0.4593604952096939
104,328,House,median_dim1,-0.524
104,329,House,median_coord1D,-0.27013614773750305
104,329,House,median_dim1,-0.418
105,100,House,median_coord1D,-0.27510547637939453
105,100,House,median_dim1,-0.383
105,200,House,median_coord1D,0.5150159597396851
105,200,House,median_dim1,0.39
105,328,House,median_coord1D,-0.4593604952096939
105,328,House,median_dim1,-0.524
105,329,House,median_coord1D,-0.27013614773750305
105,329,House,median_dim1,-0.418
106,100,House,median_coord1D,-0.32307179272174835
106,100,House,median_dim1,-0.3835
106,200,House,median_coord1D,0.5176505148410797
106,200,House,median_dim1,0.391
106,328,House,median_coord1D,0.0352136492729187
106,328,House,median_dim1,0.020499999999999963
106,329,House,median_coord1D,-0.27013614773750305
106,329,House,median_dim1,-0.418
107,100,House,median_coord1D,-0.339725524187088
107,100,House,median_dim1,-0.3835
107,200,House,median_coord1D,0.5526129603385925
107,200,House,median_dim1,0.4025
107,328,House,median_coord1D,0.0352136492729187
107,328,House,median_dim1,0.020499999999999963
