"","icpsr","name","party_code","state_abbrev","ambiguity","dim1","dim2","correctYea","wrongYea","wrongNay","correctNay","GMP","CC","coord1D","se1D","prop1","prop2","prop3","chamber"
"1885","21558","JENKINS, Evan H.","200","WV",0,0.315,"0.308",97,1,1,92,0.960344433784485,0.989528795811518,0.766342639923096,0,98.9795918367347,98.9247311827957,98.9521615097652,"House"
"1886","21542","KATKO, John","200","NY",0,0.185,"0.013",116,12,24,114,0.740862131118774,0.864661654135338,0.386874824762344,0,90.625,82.6086956521739,86.616847826087,"House"
"1887","21505","KNIGHT, Steve","200","CA",0,0.397,"0.188",100,5,0,98,0.937111735343933,0.975369458128079,0.682780504226685,0,95.2380952380952,100,97.6190476190476,"House"
"1888","21530","LAWRENCE, Brenda L","100","MI",0,-0.448,"-0.039",145,1,0,122,0.989776194095612,0.996268656716418,-0.552037179470062,0,99.3150684931507,100,99.6575342465753,"House"
"1889","21507","LIEU, Ted","100","CA",0,-0.374,"-0.229",135,1,1,106,0.96922093629837,0.991769547325103,-0.711627125740051,0,99.2647058823529,99.0654205607477,99.1650632215503,"House"
"1890","21515","LOUDERMILK, Barry D.","200","GA",0,0.682,"-0.003",114,0,0,125,0.972857654094696,1,0.906534969806671,0,100,100,100,"House"
"1891","21552","LOVE, Ludmya Bourdeau (Mia)","200","UT",0,0.542,"-0.056",98,4,0,99,0.929867327213287,0.980099502487562,0.8911572098732,0,96.078431372549,100,98.0392156862745,"House"
"1892","21537","MacARTHUR, Thomas Charles","200","NJ",0,0.206,"0.274",87,7,6,104,0.833368062973022,0.936274509803922,0.430161327123642,0,92.5531914893617,94.5454545454545,93.5493230174081,"House"
"1893","21501","McSALLY, Martha","200","AZ",0,0.345,"0.027",98,4,4,95,0.905301928520203,0.960199004975124,0.577940404415131,0,96.078431372549,95.959595959596,96.0190136660725,"House"
"1894","21526","MOOLENAAR, John","200","MI",0,0.45,"0.169",132,5,4,122,0.896317183971405,0.965779467680608,0.674202561378479,0,96.3503649635037,96.8253968253968,96.5878808944502,"House"
"1895","21557","MOONEY, Alex X.","200","WV",0,0.564,"-0.222",130,4,4,130,0.918701648712158,0.970149253731343,0.743076682090759,0,97.0149253731343,97.0149253731343,97.0149253731343,"House"
"1896","21525","MOULTON, Seth","100","MA",0,-0.282,"-0.044",143,1,1,117,0.957998394966125,0.99236641221374,-0.406348019838333,0,99.3055555555556,99.1525423728814,99.2290489642185,"House"
"1897","21556","NEWHOUSE, Daniel Milton","200","WA",0,0.316,"0.347",131,2,3,126,0.936261355876923,0.980916030534351,0.715125977993011,0,98.4962406015038,97.6744186046512,98.0853296030775,"House"
"1898","21500","PALMER, Gary James","200","AL",0,0.679,"0.102",127,2,2,137,0.957225680351257,0.985074626865672,0.851140797138214,0,98.4496124031008,98.5611510791367,98.5053817411187,"House"
